0.4768, 0.2051, 0.3248, 0.0677, 0.0925, 0.0595, 0.1023, 0.1448, 0.4125, 0.3540, 0.2542, 0.4657
0.1418, 0.2048, 0.8707, 0.0892, 0.0530, 0.0714, 0.1744, 0.1207, 0.1196, 0.1069, 0.1589, 0.2608
0.1673, 0.2019, 0.4594, 0.1033, 0.3431, 0.3728, 0.4221, 0.2477, 0.2771, 0.1393, 0.3071, 0.1507
0.2294, 0.1681, 0.2774, 0.1442, 0.2876, 0.4819, 0.2389, 0.2032, 0.2150, 0.2607, 0.5086, 0.1873
0.5507, 0.5716, 0.4116, 0.1668, 0.1889, 0.2191, 0.0842, 0.1504, 0.1277, 0.1015, 0.0874, 0.1583
0.2854, 0.1099, 0.1283, 0.2983, 0.3920, 0.3934, 0.4302, 0.2180, 0.2198, 0.3111, 0.2915, 0.1731
0.1144, 0.1344, 0.1153, 0.2665, 0.3692, 0.4622, 0.3116, 0.3589, 0.3864, 0.1160, 0.3401, 0.1739
0.1028, 0.0937, 0.1586, 0.1388, 0.3187, 0.2862, 0.4030, 0.4595, 0.5329, 0.1931, 0.1609, 0.1791
0.1145, 0.1636, 0.4730, 0.1234, 0.3344, 0.5208, 0.4148, 0.2968, 0.0230, 0.0913, 0.1161, 0.2359
0.2475, 0.1618, 0.1094, 0.0441, 0.1069, 0.4382, 0.6693, 0.3111, 0.0379, 0.3043, 0.2184, 0.0930
0.1888, 0.1065, 0.1550, 0.0411, 0.1178, 0.5600, 0.7260, 0.2604, 0.0417, 0.0445, 0.0226, 0.0253
0.1408, 0.2622, 0.1172, 0.0562, 0.2037, 0.5149, 0.6086, 0.4359, 0.1109, 0.0850, 0.0554, 0.0700
0.1542, 0.1717, 0.1161, 0.1198, 0.2120, 0.4297, 0.4869, 0.5496, 0.2654, 0.2469, 0.1252, 0.0562
0.1279, 0.0506, 0.1656, 0.5339, 0.6787, 0.4191, 0.1260, 0.0854, 0.0597, 0.0658, 0.0038, 0.0339
0.0085, 0.0056, 0.0390, 0.0544, 0.9905, 0.1153, 0.0243, 0.0108, 0.0068, 0.0069, 0.0041, 0.0159
0.0200, 0.0057, 0.0287, 0.2416, 0.9690, 0.0173, 0.0255, 0.0110, 0.0099, 0.0036, 0.0087, 0.0074
0.0158, 0.0063, 0.0375, 0.2156, 0.9750, 0.0152, 0.0195, 0.0138, 0.0125, 0.0071, 0.0063, 0.0092
0.0161, 0.0012, 0.0416, 0.1229, 0.9893, 0.0503, 0.0313, 0.0165, 0.0126, 0.0062, 0.0056, 0.0147
0.0128, 0.0028, 0.0320, 0.1203, 0.9894, 0.0560, 0.0359, 0.0213, 0.0074, 0.0061, 0.0086, 0.0176
0.0224, 0.0106, 0.0447, 0.0557, 0.9886, 0.1218, 0.0361, 0.0144, 0.0080, 0.0108, 0.0054, 0.0205
0.0134, 0.0114, 0.0448, 0.0725, 0.9899, 0.1037, 0.0345, 0.0164, 0.0100, 0.0113, 0.0021, 0.0113
0.0145, 0.0065, 0.0448, 0.0837, 0.9922, 0.0686, 0.0308, 0.0157, 0.0084, 0.0071, 0.0057, 0.0173
