0.4097, 0.4034, 0.4417, 0.4191, 0.2716, 0.1946, 0.1923, 0.2207, 0.2280, 0.1352, 0.1140, 0.1346
0.2668, 0.3614, 0.5299, 0.5195, 0.2400, 0.1194, 0.1256, 0.2309, 0.2674, 0.0961, 0.0781, 0.1404
0.6041, 0.4779, 0.1797, 0.0309, 0.2412, 0.3323, 0.3066, 0.1437, 0.0316, 0.2014, 0.1979, 0.0969
0.6221, 0.4792, 0.1838, 0.0233, 0.2239, 0.3351, 0.3048, 0.1366, 0.0241, 0.1780, 0.1866, 0.0891
0.5790, 0.4457, 0.1651, 0.0358, 0.2683, 0.3712, 0.3196, 0.1417, 0.0330, 0.2104, 0.2206, 0.1076
0.6013, 0.4687, 0.1795, 0.0286, 0.2474, 0.3524, 0.3033, 0.1334, 0.0290, 0.1979, 0.2047, 0.0927
0.6089, 0.4620, 0.1759, 0.0380, 0.2492, 0.3529, 0.3148, 0.1465, 0.0260, 0.1708, 0.1922, 0.0971
0.6522, 0.5127, 0.2160, 0.0231, 0.1780, 0.2887, 0.2760, 0.1296, 0.0215, 0.1540, 0.1637, 0.0747
0.5664, 0.4591, 0.1681, 0.0336, 0.2584, 0.3650, 0.3057, 0.1341, 0.0501, 0.2400, 0.2366, 0.1069
0.4252, 0.3436, 0.1284, 0.1049, 0.3833, 0.4735, 0.4010, 0.1620, 0.0487, 0.2257, 0.2198, 0.1178
0.4755, 0.2927, 0.0962, 0.0704, 0.3368, 0.4747, 0.4320, 0.1889, 0.0230, 0.1917, 0.2399, 0.1345
0.6582, 0.5020, 0.2415, 0.0641, 0.1439, 0.2462, 0.2981, 0.1723, 0.0397, 0.1460, 0.1541, 0.0769
0.6843, 0.5848, 0.3359, 0.0986, 0.0806, 0.1255, 0.1656, 0.1074, 0.0161, 0.0358, 0.0536, 0.0394
0.5860, 0.5285, 0.2614, 0.0769, 0.2611, 0.3079, 0.2311, 0.1490, 0.0569, 0.1607, 0.1700, 0.0806
0.6533, 0.6088, 0.3844, 0.1604, 0.1193, 0.0926, 0.0246, 0.0161, 0.0104, 0.0441, 0.0395, 0.0419
0.3427, 0.4842, 0.5396, 0.4371, 0.2733, 0.2156, 0.1782, 0.0879, 0.0596, 0.0255, 0.0203, 0.0214
0.3776, 0.4794, 0.4524, 0.3986, 0.3862, 0.3041, 0.1107, 0.0369, 0.0257, 0.0669, 0.0532, 0.0281
0.3112, 0.3520, 0.3195, 0.2301, 0.2157, 0.3896, 0.4503, 0.3416, 0.2495, 0.1629, 0.1039, 0.0836
0.5842, 0.5737, 0.4135, 0.2410, 0.1564, 0.1455, 0.1069, 0.0712, 0.0624, 0.0665, 0.0840, 0.1518
0.5093, 0.5557, 0.4881, 0.3587, 0.2117, 0.0819, 0.0190, 0.0269, 0.0396, 0.0463, 0.0491, 0.0788
0.6258, 0.3739, 0.2671, 0.1209, 0.0737, 0.2163, 0.3124, 0.3319, 0.2109, 0.1254, 0.1604, 0.1914
0.3927, 0.3107, 0.2700, 0.3098, 0.3651, 0.3747, 0.2777, 0.1120, 0.0112, 0.0659, 0.2434, 0.3916
